MP name	State	Political party	Educational qualifications	Age	Attendance
Padamsinha Bajirao Patil	Maharashtra	Nationalist Congress Party	Graduate	72	55%
Pakauri Lal	Uttar Pradesh	Samajwadi Party	Under Matric	60	86%
Palaniappan Chidambaram	Tamil Nadu	Indian National Congress	Post Graduate	66	N/A
Paramjit Kaur Gulshan	Punjab	Shiromani Akali Dal	Post Graduate	63	81%
Partap Singh Bajwa	Punjab	Indian National Congress	Graduate	55	84%
Pashupati Nath Singh	Jharkhand	Bharatiya Janata Party	Graduate	63	90%
Pawan Kumar Bansal	Chandigarh	Indian National Congress	Graduate	64	N/A
Pinaki Misra	Orissa	Biju Janata Dal	Graduate	52	76%
Poonamben Veljibhai Jat	Gujarat	Bharatiya Janata Party	Inter/ Higher Secondary	41	88%
Prabha Kishore Taviad	Gujarat	Indian National Congress	Post Graduate	58	99%
Prabhakar Ponnam	Andhra Pradesh	Indian National Congress	Post Graduate	45	85%
Prabhatsinh Pratapsinh Chauhan	Gujarat	Bharatiya Janata Party	Inter/ Higher Secondary	71	86%
Prabodh Panda	West Bengal	Communist Party of India	Graduate	66	90%
Pradeep Kumar Jain Aditya	Uttar Pradesh	Indian National Congress	Post Graduate	50	N/A
Pradeep Kumar Majhi	Orissa	Indian National Congress	Graduate	36	61%
Pradeep Kumar Singh	Bihar	Bharatiya Janata Party	Matric	47	72%
Pradeep Tamta	Uttarakhand	Indian National Congress	Post Graduate	54	95%
Praful Manoharbhai Patel	Maharashtra	Nationalist Congress Party	Graduate	55	N/A
Pralhad Venkatesh Joshi	Karnataka	Bharatiya Janata Party	Graduate	49	78%
Pranab Mukherjee	West Bengal	Indian National Congress	Post Graduate	76	N/A
Prasanna Kumar Patasani	Orissa	Biju Janata Dal	Doctorate	66	83%
Prasanta Kumar Majumdar	West Bengal	Revolutionary Socialist Party	Post Graduate	71	76%
Pratik Prakashbapu Patil	Maharashtra	Indian National Congress	Diploma Course	39	N/A
Praveen Singh Aron	Uttar Pradesh	Indian National Congress	Graduate	53	73%
Prem Das Rai	Sikkim	Sikkim Democratic Front	Graduate	58	90%
Premchandra Guddu	Madhya Pradesh	Indian National Congress	Inter/ Higher Secondary	52	78%
Premdas Katheria	Uttar Pradesh	Samajwadi Party	Graduate	47	94%
Preneet Kaur	Punjab	Indian National Congress	Graduate	67	N/A
Priya Sunil Dutt	Maharashtra	Indian National Congress	Post Graduate	46	60%
Pulin Bihari Baske	West Bengal	Communist Party of India (Marxist)	Graduate	44	92%
Purnmasi Ram	Bihar	Janata Dal (United)	Matric	62	85%
Putul Kumari	Bihar	Independent	Information not available	53	91%
R. Thamaraiselvan	Tamil Nadu	Dravida Munnetra Kazhagam	Graduate	49	81%
R.K. Singh Patel	Uttar Pradesh	Samajwadi Party	Graduate	53	84%
Radha Mohan Singh	Bihar	Bharatiya Janata Party	Graduate	63	87%
Radhe Mohan Singh	Uttar Pradesh	Samajwadi Party	Graduate	45	74%
Raghavendra Yeddyurappa	Karnataka	Bharatiya Janata Party	Graduate	39	58%
Raghuvansh Prasad Singh	Bihar	Rashtriya Janata Dal	Doctorate	66	99%
Raghuvir Singh Meena	Rajasthan	Indian National Congress	Graduate	53	84%
Rahul Gandhi	Uttar Pradesh	Indian National Congress	Post Graduate	42	42%
Raj Babbar	Uttar Pradesh	Indian National Congress	Graduate	60	69%
Raj Kumari Chauhan	Uttar Pradesh	Bahujan Samaj Party	Inter/ Higher Secondary	42	83%
Raja Ram Pal	Uttar Pradesh	Indian National Congress	Graduate	51	91%
Rajagopal Lagadapati	Andhra Pradesh	Indian National Congress	Graduate	48	76%
Rajaiah Siricilla	Andhra Pradesh	Indian National Congress	Graduate	59	79%
Rajan Sushant	Himachal Pradesh	Bharatiya Janata Party	Doctorate	57	94%
Rajen Gohain	Assam	Bharatiya Janata Party	Graduate	61	58%
Rajendra Agrawal	Uttar Pradesh	Bharatiya Janata Party	Post Graduate	62	98%
Rajendrasinh Ghanshyamsinh Rana (Raju Rana)	Gujarat	Bharatiya Janata Party	Graduate	56	85%
Rajesh Nandini Singh	Madhya Pradesh	Indian National Congress	Graduate	55	89%
Rajiv Ranjan (Lalan) Singh	Bihar	Janata Dal (United)	Graduate	57	93%
Rajnath Singh	Uttar Pradesh	Bharatiya Janata Party	Post Graduate	61	80%
Raju Shetti	Maharashtra	Swabhimani Paksha	Diploma Course	45	74%
Rakesh Pandey	Uttar Pradesh	Bahujan Samaj Party	Matric	60	85%
Rakesh Sachan	Uttar Pradesh	Samajwadi Party	Post Graduate	47	87%
Rakesh Singh	Madhya Pradesh	Bharatiya Janata Party	Graduate	50	80%
Ram Chandra Dome	West Bengal	Communist Party of India (Marxist)	Graduate	53	82%
Ram Singh Kaswan	Rajasthan	Bharatiya Janata Party	Graduate	67	92%
Ram Sundar Das	Bihar	Janata Dal (United)	Matric	91	87%
Rama Devi	Bihar	Bharatiya Janata Party	Graduate	63	87%
Ramachandran Mullappally	Kerala	Indian National Congress	Post Graduate	67	N/A
Ramakant Yadav	Uttar Pradesh	Bharatiya Janata Party	Matric	55	47%
Ramashankar Rajbhar	Uttar Pradesh	Bahujan Samaj Party	Graduate	52	95%
Ramen Deka	Assam	Bharatiya Janata Party	Graduate	58	87%
Ramesh Bais	Chhattisgarh	Bharatiya Janata Party	Inter/ Higher Secondary	65	94%
Ramesh Chandappa Jigajinagi	Karnataka	Bharatiya Janata Party	Post Graduate	60	81%
Ramesh Kumar	Delhi	Indian National Congress	Matric	57	100%
Ramesh Rathod	Andhra Pradesh	Telugu Desam Party	Graduate	45	51%
Ramkishun	Uttar Pradesh	Samajwadi Party	Graduate	56	86%
Ramshankar	Uttar Pradesh	Bharatiya Janata Party	Doctorate	47	73%
Ramsinhbhai Patalyabhai Rathwa	Gujarat	Bharatiya Janata Party	Post Diploma Course	61	80%
Ranee Narah	Assam	Indian National Congress	Graduate	46	83%
Ranjan Prasad Yadav	Bihar	Janata Dal (United)	Doctorate	67	87%
Raosaheb Patil Danve	Maharashtra	Bharatiya Janata Party	Under Graduate	57	63%
Ratan Singh	Rajasthan	Indian National Congress	Graduate	65	95%
Ratanjit Pratap Narayan Singh	Uttar Pradesh	Indian National Congress	Graduate	48	N/A
Ratna De	West Bengal	All India Trinamool Congress	Post Graduate	64	81%
Ratna Singh	Uttar Pradesh	Indian National Congress	Graduate	53	85%
Rattan Singh Ajnala	Punjab	Shiromani Akali Dal	Graduate	68	85%
Ravindra Kumar Pandey	Jharkhand	Bharatiya Janata Party	Graduate	53	87%
Ravneet Singh	Punjab	Indian National Congress	Inter/ Higher Secondary	37	77%
Rewati Raman Singh	Uttar Pradesh	Samajwadi Party	Graduate	68	87%
Rudramadhab Ray	Orissa	Biju Janata Dal	Graduate	74	76%
S. Alagiri	Tamil Nadu	Indian National Congress	Graduate	59	70%
S. Gandhiselvan	Tamil Nadu	Dravida Munnetra Kazhagam	Post Graduate	49	N/A
S. Jagathrakshakan	Tamil Nadu	Dravida Munnetra Kazhagam	Inter/ Higher Secondary	64	N/A
S. Pakkirappa	Karnataka	Bharatiya Janata Party	Under Matric	53	64%
S. R. Jeyadurai	Tamil Nadu	Dravida Munnetra Kazhagam	Graduate	43	58%
S. Semmalai	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Graduate	67	85%
S.P.Y. Reddy	Andhra Pradesh	Indian National Congress	Graduate	62	48%
S.S. Palanimanickam	Tamil Nadu	Dravida Munnetra Kazhagam	Graduate	62	N/A
S.S. Ramasubbu	Tamil Nadu	Indian National Congress	Post Graduate	62	98%
Sabbam Hari	Andhra Pradesh	Indian National Congress	Graduate	60	77%
Sachin Pilot	Rajasthan	Indian National Congress	Post Graduate	35	N/A
Sadashivrao Dadoba Mandlik	Maharashtra	Independent	Graduate	77	47%
Sai Prathap Annayyagari	Andhra Pradesh	Indian National Congress	Under Graduate	67	87%
Sajjan Singh Verma	Madhya Pradesh	Indian National Congress	Post Graduate	59	88%
Sakti Mohan Malik	West Bengal	Communist Party of India (Marxist)	Post Graduate	53	92%
Salman Khurshid	Uttar Pradesh	Indian National Congress	Post Graduate	59	N/A
Sambasiva Rayapati Rao	Andhra Pradesh	Indian National Congress	Graduate	69	67%
Sameer Magan Bhujbal	Maharashtra	Nationalist Congress Party	Matric	38	68%
Sandeep Dikshit	Delhi	Indian National Congress	Post Graduate	48	92%
Sanjay Bhoi	Orissa	Indian National Congress	Graduate	38	86%
Sanjay Dina Patil	Maharashtra	Nationalist Congress Party	Graduate	43	86%
Sanjay Jaiswal	Bihar	Bharatiya Janata Party	Post Graduate	46	84%
Sanjay Nirupam	Maharashtra	Indian National Congress	Graduate	47	92%
Sanjay Shamrao Dhotre	Maharashtra	Bharatiya Janata Party	Graduate	53	76%
Sanjay Singh Chauhan	Uttar Pradesh	Rashtriya Lok Dal	Graduate	50	88%
Sanjay Sinh	Uttar Pradesh	Indian National Congress	Doctorate	60	77%
Sanjeev Ganesh Naik	Maharashtra	Nationalist Congress Party	Inter/ Higher Secondary	40	94%
Sansuma Khunggur Bwiswmuthiary	Assam	Bodoland People's Front	Graduate	52	61%
Santosh Chowdhary	Punjab	Indian National Congress	Post Graduate	67	85%
Sarika Singh Baghel	Uttar Pradesh	Rashtriya Lok Dal	Post Graduate	32	94%
Saroj Pandey	Chhattisgarh	Bharatiya Janata Party	Post Graduate	44	73%
Satabdi Roy	West Bengal	All India Trinamool Congress	Graduate	42	72%
Sathyanarayana Sarvey	Andhra Pradesh	Indian National Congress	Post Graduate	58	72%
Satpal Maharaj	Uttarakhand	Indian National Congress	Inter/ Higher Secondary	60	86%
Saugata Roy	West Bengal	All India Trinamool Congress	Post Graduate	65	N/A
Seema Upadhyay	Uttar Pradesh	Bahujan Samaj Party	Graduate	47	87%
Selja	Haryana	Indian National Congress	Post Graduate	49	N/A
Shafiqur Rahman Barq	Uttar Pradesh	Bahujan Samaj Party	Graduate	82	98%
Shailendra Kumar	Uttar Pradesh	Samajwadi Party	Post Graduate	52	97%
Sharad Chandra Govindrao Pawar	Maharashtra	Nationalist Congress Party	Graduate	71	N/A
Sharad Yadav	Bihar	Janata Dal (United)	Graduate	65	84%
Sharifuddin Shariq	Jammu and Kashmir	Jammu and Kashmir National Conference	Post Graduate	77	88%
Shashi Tharoor	Kerala	Indian National Congress	Doctorate	56	87%
Shatrughan Sinha	Bihar	Bharatiya Janata Party	Graduate	66	73%
Sheesh Ram Ola	Rajasthan	Indian National Congress	Matric	85	94%
Sher Singh Ghubaya	Punjab	Shiromani Akali Dal	Matric	50	63%
Shibu Soren	Jharkhand	Jharkhand Mukti Morcha	Matric	68	21%
Shivaji Adhalrao Patil	Maharashtra	Shiv Sena	Inter/ Higher Secondary	56	42%
Shivaramagouda Shivanagouda	Karnataka	Bharatiya Janata Party	Graduate	58	77%
Shivraj Singh Lodhi	Madhya Pradesh	Bharatiya Janata Party	Matric	68	87%
Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle	Maharashtra	Nationalist Congress Party	Post Graduate	46	52%
Shripad Yesso Naik	Goa	Bharatiya Janata Party	Graduate	59	81%
Shriprakash Jaiswal	Uttar Pradesh	Indian National Congress	Inter/ Higher Secondary	67	N/A
Shruti Choudhry	Haryana	Indian National Congress	Graduate	36	80%
Sidhant Mohapatra	Orissa	Biju Janata Dal	Post Graduate	46	62%
Sisir Kumar Adhikari	West Bengal	All India Trinamool Congress	Inter/ Higher Secondary	70	N/A
Sivakumar @ J.K. Ritheesh. K	Tamil Nadu	Dravida Munnetra Kazhagam	Graduate	39	38%
Sk. Nurul Islam	West Bengal	All India Trinamool Congress	Matric	48	42%
Sk. Saidul Haque	West Bengal	Communist Party of India (Marxist)	Post Graduate	58	97%
Sohan Potai	Chhattisgarh	Bharatiya Janata Party	Post Graduate	54	71%
Solanki Dinubhai Boghabhal	Gujarat	Bharatiya Janata Party	Graduate	55	17%
Somabhai Gandalal Koli Patel	Gujarat	Indian National Congress	Under Matric	72	87%
Somendra Nath Mitra	West Bengal	All India Trinamool Congress	Graduate	68	48%
Sonawane Pratap Narayanrao	Maharashtra	Bharatiya Janata Party	Graduate	63	50%
Sonia Gandhi	Uttar Pradesh	Indian National Congress	Diploma Course	65	47%
Srikanta Kumar Jena	Orissa	Indian National Congress	Graduate	62	N/A
Subhash Bapurao Wankhede	Maharashtra	Shiv Sena	Matric	49	65%
Subodh Kant Sahay	Jharkhand	Indian National Congress	Graduate	61	N/A
Subrata Bakshi	West Bengal	All India Trinamool Congress	Professional Graduate	62	32%
Sucharu Ranjan Haldar	West Bengal	All India Trinamool Congress	Post Graduate	72	82%
Sudarshan Bhagat	Jharkhand	Bharatiya Janata Party	Graduate	42	87%
Sudip Bandyopadhyay	West Bengal	All India Trinamool Congress	Graduate	59	89%
Sukender Reddy Gutha	Andhra Pradesh	Indian National Congress	Graduate	58	63%
Sukhdev Singh Libra	Punjab	Indian National Congress	Matric	79	97%
Sultan Ahmed	West Bengal	All India Trinamool Congress	Graduate	59	N/A
Sumitra Mahajan	Madhya Pradesh	Bharatiya Janata Party	Post Graduate	69	86%
Supriya Sule	Maharashtra	Nationalist Congress Party	Graduate	43	85%
Surendra Singh Nagar	Uttar Pradesh	Bahujan Samaj Party	Graduate	47	79%
Suresh Channabasappa Angadi	Karnataka	Bharatiya Janata Party	Graduate	57	74%
Suresh Kalmadi	Maharashtra	Indian National Congress	Graduate	68	42%
Suresh Kashinath Taware	Maharashtra	Indian National Congress	Graduate	52	85%
Suresh Kodikunnil	Kerala	Indian National Congress	Graduate	50	81%
Suresh Kumar Shetkar	Andhra Pradesh	Indian National Congress	Graduate	52	77%
Sushil Kumar Sambhajirao Shinde	Maharashtra	Indian National Congress	Graduate	71	N/A
Sushil Kumar Singh	Bihar	Janata Dal (United)	Post Graduate	49	76%
Sushila Saroj	Uttar Pradesh	Samajwadi Party	Post Graduate	61	88%
Sushma Swaraj	Madhya Pradesh	Bharatiya Janata Party	Graduate	60	94%
Susmita Bauri	West Bengal	Communist Party of India (Marxist)	Graduate	37	94%
Suvendu Adhikari	West Bengal	All India Trinamool Congress	Graduate	41	23%
Syed Shahnawaz Hussain	Bihar	Bharatiya Janata Party	Diploma Course	43	93%
T.K.S. Elangovan	Tamil Nadu	Dravida Munnetra Kazhagam	Post Graduate	58	93%
Tabassum Hasan	Uttar Pradesh	Bahujan Samaj Party	Matric	41	66%
Takam Sanjoy	Arunachal Pradesh	Indian National Congress	Graduate	45	66%
Tapas Paul	West Bengal	All India Trinamool Congress	Graduate	54	67%
Tarachand Bhagora	Rajasthan	Indian National Congress	Post Graduate	58	81%
Tarun Mandal	West Bengal	Independent	Graduate	53	74%
Tathagata Satpathy	Orissa	Biju Janata Dal	Graduate	56	71%
Thalikkottai Rajuthevar Baalu	Tamil Nadu	Dravida Munnetra Kazhagam	Graduate	71	82%
Thangso Baite	Manipur	Indian National Congress	Post Graduate	59	99%
Thirumaa Valavan Thol	Tamil Nadu	Viduthalai Chiruthaigal Katchi	Post Graduate	50	47%
Thokchom Meinya	Manipur	Indian National Congress	Doctorate	66	99%
Tufani Saroj	Uttar Pradesh	Samajwadi Party	Graduate	56	89%
Tushar Amarsinh Chaudhary	Gujarat	Indian National Congress	Graduate	46	N/A
Udasi Shivkumar Chanabasappa	Karnataka	Bharatiya Janata Party	Graduate	45	90%
Uday Pratap Singh	Madhya Pradesh	Indian National Congress	Graduate	48	83%
Uday Singh Alias Pappu Singh	Bihar	Bharatiya Janata Party	Inter/ Higher Secondary	59	74%
Uma Shanker Singh	Bihar	Rashtriya Janata Dal	Inter/ Higher Secondary	72	89%
Usha Verma	Uttar Pradesh	Samajwadi Party	Post Graduate	49	85%
V. Kishore Chandra S. Deo	Andhra Pradesh	Indian National Congress	Post Graduate	65	91%
V. Narayanasamy	Puducherry	Indian National Congress	Post Graduate	65	N/A
Vijay Bahadur Singh	Uttar Pradesh	Bahujan Samaj Party	Graduate	71	85%
Vijay Bahuguna	Uttarakhand	Indian National Congress	Graduate	65	80%
Vijay Inder Singla	Punjab	Indian National Congress	Graduate	40	85%
Vikrambhai Arjanbhai Maadam	Gujarat	Indian National Congress	Graduate	54	77%
Vilas Baburao Muttemwar	Maharashtra	Indian National Congress	Graduate	63	80%
Vinay Kumar Pandey	Uttar Pradesh	Indian National Congress	Doctorate	48	85%
Vincent H Pala	Meghalaya	Indian National Congress	Graduate	44	N/A
Virbhadra Singh	Himachal Pradesh	Indian National Congress	Post Graduate	78	N/A
Virender Kashyap	Himachal Pradesh	Bharatiya Janata Party	Post Graduate	62	88%
Virendra Kumar	Madhya Pradesh	Bharatiya Janata Party	Doctorate	58	95%
Vishnu Deo Sai	Chhattisgarh	Bharatiya Janata Party	Inter/ Higher Secondary	48	59%
Vishwa Mohan Kumar	Bihar	Janata Dal (United)	Post Graduate	54	82%
Vitthalbhai Hansrajbhai Radadiya	Gujarat	Indian National Congress	Graduate	53	27%
Wakchaure Bhausaheb Rajaram	Maharashtra	Shiv Sena	Graduate	62	67%
Y. S. Jagan Mohan Reddy	Andhra Pradesh	Yuvajana Sramika Rythu Congress Party	Graduate	39	40%
Yashbant Narayan Singh Laguri	Orissa	Biju Janata Dal	Graduate	41	70%
Yashodhara Raje Scindia	Madhya Pradesh	Bharatiya Janata Party	Inter/ Higher Secondary	58	78%
Yashvir Singh	Uttar Pradesh	Samajwadi Party	Graduate	39	86%
Yashwant Sinha	Jharkhand	Bharatiya Janata Party	Post Graduate	74	89%
Yogi Adityanath	Uttar Pradesh	Bharatiya Janata Party	Graduate	40	74%
Zafar Ali Naqvi	Uttar Pradesh	Indian National Congress	Graduate	65	79%
